Timestamp,Object,Confidence
2026-03-29 10:13:03,laptop,0.93
2026-03-29 10:13:04,laptop,0.95
2026-03-29 10:13:04,laptop,0.95
2026-03-29 10:13:04,laptop,0.94
2026-03-29 10:13:05,laptop,0.96
2026-03-29 10:13:05,laptop,0.95
2026-03-29 10:13:05,laptop,0.94
2026-03-29 10:13:05,laptop,0.94
2026-03-29 10:13:06,laptop,0.94
2026-03-29 10:13:06,laptop,0.90
2026-03-29 10:13:06,laptop,0.87
2026-03-29 10:13:06,laptop,0.90
2026-03-29 10:13:07,laptop,0.90
2026-03-29 10:13:07,laptop,0.88
2026-03-29 10:13:07,laptop,0.89
2026-03-29 10:13:08,laptop,0.80
2026-03-29 10:13:08,laptop,0.74
2026-03-29 10:13:08,tv,0.62
2026-03-29 10:13:08,tv,0.63
2026-03-29 10:13:09,tv,0.58
2026-03-29 10:13:09,laptop,0.51
2026-03-29 10:13:09,tv,0.79
2026-03-29 10:13:09,tv,0.71
2026-03-29 10:13:09,tv,0.67
2026-03-29 10:13:10,microwave,0.63
2026-03-29 10:13:10,tv,0.51
2026-03-29 10:13:10,tv,0.65
2026-03-29 10:13:10,tv,0.51
2026-03-29 10:13:11,tv,0.58
2026-03-29 10:13:11,tv,0.51
2026-03-29 10:13:11,tv,0.58
2026-03-29 10:13:12,tv,0.58
2026-03-29 10:13:12,tv,0.61
2026-03-29 10:13:12,tv,0.65
2026-03-29 10:13:13,tv,0.57
2026-03-29 10:13:13,tv,0.58
2026-03-29 10:13:13,microwave,0.66
2026-03-29 10:13:13,tv,0.59
2026-03-29 10:13:14,microwave,0.66
2026-03-29 10:13:14,tv,0.59
2026-03-29 10:13:14,tv,0.59
2026-03-29 10:13:14,tv,0.71
2026-03-29 10:13:17,tv,0.57
2026-03-29 10:13:17,tv,0.66
2026-03-29 10:13:17,tv,0.67
2026-03-29 10:13:18,tv,0.58
2026-03-29 10:13:18,tv,0.53
2026-03-29 10:13:18,tv,0.59
2026-03-29 10:13:19,tv,0.56
2026-03-29 10:13:19,tv,0.82
2026-03-29 10:13:19,tv,0.60
2026-03-29 10:13:20,tv,0.62
2026-03-29 10:13:20,laptop,0.50
2026-03-29 10:13:20,tv,0.61
2026-03-29 10:13:20,tv,0.56
2026-03-29 10:13:21,laptop,0.78
